0:UNKNOWN:Unknown key code. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>UNKNOWN</h1><h2>Keyevent Overview</h2><p>Unknown key code. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 0</code> and maps to the Android constant <code>KEYCODE_UNKNOWN</code>.</p><h2>Behavior Details</h2><p>Unknown key code This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
161:NUMPAD_EQUALS:Numeric keypad equals key. It targets the numeric keypad rather than the main keyboard row.:<h1>NUMPAD_EQUALS</h1><h2>Keyevent Overview</h2><p>Numeric keypad equals key. It targets the numeric keypad rather than the main keyboard row.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 161</code> and maps to the Android constant <code>KEYCODE_NUMPAD_EQUALS</code>.</p><h2>Behavior Details</h2><p>Numeric keypad equals key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
162:NUMPAD_LEFT_PAREN:Numeric keypad left parenthesis key. It targets the numeric keypad rather than the main keyboard row.:<h1>NUMPAD_LEFT_PAREN</h1><h2>Keyevent Overview</h2><p>Numeric keypad left parenthesis key. It targets the numeric keypad rather than the main keyboard row.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 162</code> and maps to the Android constant <code>KEYCODE_NUMPAD_LEFT_PAREN</code>.</p><h2>Behavior Details</h2><p>Numeric keypad left parenthesis key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
163:NUMPAD_RIGHT_PAREN:Numeric keypad right parenthesis key. It targets the numeric keypad rather than the main keyboard row.:<h1>NUMPAD_RIGHT_PAREN</h1><h2>Keyevent Overview</h2><p>Numeric keypad right parenthesis key. It targets the numeric keypad rather than the main keyboard row.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 163</code> and maps to the Android constant <code>KEYCODE_NUMPAD_RIGHT_PAREN</code>.</p><h2>Behavior Details</h2><p>Numeric keypad right parenthesis key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
164:VOLUME_MUTE:Speaker mute key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>VOLUME_MUTE</h1><h2>Keyevent Overview</h2><p>Speaker mute key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 164</code> and maps to the Android constant <code>KEYCODE_VOLUME_MUTE</code>.</p><h2>Behavior Details</h2><p>Speaker mute key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
165:INFO:Info key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>INFO</h1><h2>Keyevent Overview</h2><p>Info key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 165</code> and maps to the Android constant <code>KEYCODE_INFO</code>.</p><h2>Behavior Details</h2><p>Info key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
166:CHANNEL_UP:Channel up key. It is commonly found on TV remotes and set-top-box style devices.:<h1>CHANNEL_UP</h1><h2>Keyevent Overview</h2><p>Channel up key. It is commonly found on TV remotes and set-top-box style devices.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 166</code> and maps to the Android constant <code>KEYCODE_CHANNEL_UP</code>.</p><h2>Behavior Details</h2><p>Channel up key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
167:CHANNEL_DOWN:Channel down key. It is commonly found on TV remotes and set-top-box style devices.:<h1>CHANNEL_DOWN</h1><h2>Keyevent Overview</h2><p>Channel down key. It is commonly found on TV remotes and set-top-box style devices.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 167</code> and maps to the Android constant <code>KEYCODE_CHANNEL_DOWN</code>.</p><h2>Behavior Details</h2><p>Channel down key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
168:ZOOM_IN:Zoom in key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>ZOOM_IN</h1><h2>Keyevent Overview</h2><p>Zoom in key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 168</code> and maps to the Android constant <code>KEYCODE_ZOOM_IN</code>.</p><h2>Behavior Details</h2><p>Zoom in key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
169:ZOOM_OUT:Zoom out key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>ZOOM_OUT</h1><h2>Keyevent Overview</h2><p>Zoom out key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 169</code> and maps to the Android constant <code>KEYCODE_ZOOM_OUT</code>.</p><h2>Behavior Details</h2><p>Zoom out key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
170:TV:TV key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>TV</h1><h2>Keyevent Overview</h2><p>TV key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 170</code> and maps to the Android constant <code>KEYCODE_TV</code>.</p><h2>Behavior Details</h2><p>TV key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
171:WINDOW:Window / picture-in-picture key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>WINDOW</h1><h2>Keyevent Overview</h2><p>Window / picture-in-picture key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 171</code> and maps to the Android constant <code>KEYCODE_WINDOW</code>.</p><h2>Behavior Details</h2><p>Window / picture-in-picture key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
172:GUIDE:Guide key. It is commonly found on TV remotes and set-top-box style devices.:<h1>GUIDE</h1><h2>Keyevent Overview</h2><p>Guide key. It is commonly found on TV remotes and set-top-box style devices.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 172</code> and maps to the Android constant <code>KEYCODE_GUIDE</code>.</p><h2>Behavior Details</h2><p>Guide key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
173:DVR:DVR key. It is commonly found on TV remotes and set-top-box style devices.:<h1>DVR</h1><h2>Keyevent Overview</h2><p>DVR key. It is commonly found on TV remotes and set-top-box style devices.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 173</code> and maps to the Android constant <code>KEYCODE_DVR</code>.</p><h2>Behavior Details</h2><p>DVR key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
174:BOOKMARK:Bookmark key. It is commonly found on TV remotes and set-top-box style devices.:<h1>BOOKMARK</h1><h2>Keyevent Overview</h2><p>Bookmark key. It is commonly found on TV remotes and set-top-box style devices.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 174</code> and maps to the Android constant <code>KEYCODE_BOOKMARK</code>.</p><h2>Behavior Details</h2><p>Bookmark key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
175:CAPTIONS:Captions key. It is commonly found on TV remotes and set-top-box style devices.:<h1>CAPTIONS</h1><h2>Keyevent Overview</h2><p>Captions key. It is commonly found on TV remotes and set-top-box style devices.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 175</code> and maps to the Android constant <code>KEYCODE_CAPTIONS</code>.</p><h2>Behavior Details</h2><p>Captions key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
176:SETTINGS:Settings key. It is commonly found on TV remotes and set-top-box style devices.:<h1>SETTINGS</h1><h2>Keyevent Overview</h2><p>Settings key. It is commonly found on TV remotes and set-top-box style devices.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 176</code> and maps to the Android constant <code>KEYCODE_SETTINGS</code>.</p><h2>Behavior Details</h2><p>Settings key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
177:TV_POWER:TV power key. It is commonly found on TV remotes and set-top-box style devices.:<h1>TV_POWER</h1><h2>Keyevent Overview</h2><p>TV power key. It is commonly found on TV remotes and set-top-box style devices.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 177</code> and maps to the Android constant <code>KEYCODE_TV_POWER</code>.</p><h2>Behavior Details</h2><p>TV power key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
178:TV_INPUT:TV input key. It is commonly found on TV remotes and set-top-box style devices.:<h1>TV_INPUT</h1><h2>Keyevent Overview</h2><p>TV input key. It is commonly found on TV remotes and set-top-box style devices.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 178</code> and maps to the Android constant <code>KEYCODE_TV_INPUT</code>.</p><h2>Behavior Details</h2><p>TV input key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
179:STB_POWER:Set-top box power key. It is commonly found on TV remotes and set-top-box style devices.:<h1>STB_POWER</h1><h2>Keyevent Overview</h2><p>Set-top box power key. It is commonly found on TV remotes and set-top-box style devices.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 179</code> and maps to the Android constant <code>KEYCODE_STB_POWER</code>.</p><h2>Behavior Details</h2><p>Set-top box power key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
180:STB_INPUT:Set-top box input key. It is commonly found on TV remotes and set-top-box style devices.:<h1>STB_INPUT</h1><h2>Keyevent Overview</h2><p>Set-top box input key. It is commonly found on TV remotes and set-top-box style devices.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 180</code> and maps to the Android constant <code>KEYCODE_STB_INPUT</code>.</p><h2>Behavior Details</h2><p>Set-top box input key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
181:AVR_POWER:A/V receiver power key. It is commonly found on TV remotes and set-top-box style devices.:<h1>AVR_POWER</h1><h2>Keyevent Overview</h2><p>A/V receiver power key. It is commonly found on TV remotes and set-top-box style devices.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 181</code> and maps to the Android constant <code>KEYCODE_AVR_POWER</code>.</p><h2>Behavior Details</h2><p>A/V receiver power key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
182:AVR_INPUT:A/V receiver input key. It is commonly found on TV remotes and set-top-box style devices.:<h1>AVR_INPUT</h1><h2>Keyevent Overview</h2><p>A/V receiver input key. It is commonly found on TV remotes and set-top-box style devices.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 182</code> and maps to the Android constant <code>KEYCODE_AVR_INPUT</code>.</p><h2>Behavior Details</h2><p>A/V receiver input key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
183:PROG_RED:Red programmable key. It is commonly found on TV remotes and set-top-box style devices.:<h1>PROG_RED</h1><h2>Keyevent Overview</h2><p>Red programmable key. It is commonly found on TV remotes and set-top-box style devices.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 183</code> and maps to the Android constant <code>KEYCODE_PROG_RED</code>.</p><h2>Behavior Details</h2><p>Red programmable key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
184:PROG_GREEN:Green programmable key. It is commonly found on TV remotes and set-top-box style devices.:<h1>PROG_GREEN</h1><h2>Keyevent Overview</h2><p>Green programmable key. It is commonly found on TV remotes and set-top-box style devices.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 184</code> and maps to the Android constant <code>KEYCODE_PROG_GREEN</code>.</p><h2>Behavior Details</h2><p>Green programmable key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
185:PROG_YELLOW:Yellow programmable key. It is commonly found on TV remotes and set-top-box style devices.:<h1>PROG_YELLOW</h1><h2>Keyevent Overview</h2><p>Yellow programmable key. It is commonly found on TV remotes and set-top-box style devices.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 185</code> and maps to the Android constant <code>KEYCODE_PROG_YELLOW</code>.</p><h2>Behavior Details</h2><p>Yellow programmable key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
186:PROG_BLUE:Blue programmable key. It is commonly found on TV remotes and set-top-box style devices.:<h1>PROG_BLUE</h1><h2>Keyevent Overview</h2><p>Blue programmable key. It is commonly found on TV remotes and set-top-box style devices.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 186</code> and maps to the Android constant <code>KEYCODE_PROG_BLUE</code>.</p><h2>Behavior Details</h2><p>Blue programmable key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
187:APP_SWITCH:App switch key. It represents a distinct Android keycode that adb shell input can send to the system.:<h1>APP_SWITCH</h1><h2>Keyevent Overview</h2><p>App switch key. It represents a distinct Android keycode that adb shell input can send to the system.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 187</code> and maps to the Android constant <code>KEYCODE_APP_SWITCH</code>.</p><h2>Behavior Details</h2><p>App switch key This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
188:BUTTON_1:Generic game pad button 1. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_1</h1><h2>Keyevent Overview</h2><p>Generic game pad button 1. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 188</code> and maps to the Android constant <code>KEYCODE_BUTTON_1</code>.</p><h2>Behavior Details</h2><p>Generic game pad button 1 This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
189:BUTTON_2:Generic game pad button 2. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_2</h1><h2>Keyevent Overview</h2><p>Generic game pad button 2. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 189</code> and maps to the Android constant <code>KEYCODE_BUTTON_2</code>.</p><h2>Behavior Details</h2><p>Generic game pad button 2 This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
190:BUTTON_3:Generic game pad button 3. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_3</h1><h2>Keyevent Overview</h2><p>Generic game pad button 3. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 190</code> and maps to the Android constant <code>KEYCODE_BUTTON_3</code>.</p><h2>Behavior Details</h2><p>Generic game pad button 3 This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
191:BUTTON_4:Generic game pad button 4. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_4</h1><h2>Keyevent Overview</h2><p>Generic game pad button 4. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 191</code> and maps to the Android constant <code>KEYCODE_BUTTON_4</code>.</p><h2>Behavior Details</h2><p>Generic game pad button 4 This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
192:BUTTON_5:Generic game pad button 5. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_5</h1><h2>Keyevent Overview</h2><p>Generic game pad button 5. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 192</code> and maps to the Android constant <code>KEYCODE_BUTTON_5</code>.</p><h2>Behavior Details</h2><p>Generic game pad button 5 This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
193:BUTTON_6:Generic game pad button 6. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_6</h1><h2>Keyevent Overview</h2><p>Generic game pad button 6. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 193</code> and maps to the Android constant <code>KEYCODE_BUTTON_6</code>.</p><h2>Behavior Details</h2><p>Generic game pad button 6 This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
194:BUTTON_7:Generic game pad button 7. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_7</h1><h2>Keyevent Overview</h2><p>Generic game pad button 7. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 194</code> and maps to the Android constant <code>KEYCODE_BUTTON_7</code>.</p><h2>Behavior Details</h2><p>Generic game pad button 7 This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
195:BUTTON_8:Generic game pad button 8. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_8</h1><h2>Keyevent Overview</h2><p>Generic game pad button 8. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 195</code> and maps to the Android constant <code>KEYCODE_BUTTON_8</code>.</p><h2>Behavior Details</h2><p>Generic game pad button 8 This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
196:BUTTON_9:Generic game pad button 9. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_9</h1><h2>Keyevent Overview</h2><p>Generic game pad button 9. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 196</code> and maps to the Android constant <code>KEYCODE_BUTTON_9</code>.</p><h2>Behavior Details</h2><p>Generic game pad button 9 This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
197:BUTTON_10:Generic game pad button 10. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_10</h1><h2>Keyevent Overview</h2><p>Generic game pad button 10. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 197</code> and maps to the Android constant <code>KEYCODE_BUTTON_10</code>.</p><h2>Behavior Details</h2><p>Generic game pad button 10 This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
198:BUTTON_11:Generic game pad button 11. It maps to a controller-style gamepad button on supported hardware.:<h1>BUTTON_11</h1><h2>Keyevent Overview</h2><p>Generic game pad button 11. It maps to a controller-style gamepad button on supported hardware.</p><h2>ADB Command</h2><p>This keyevent is triggered with <code>adb shell input keyevent 198</code> and maps to the Android constant <code>KEYCODE_BUTTON_11</code>.</p><h2>Behavior Details</h2><p>Generic game pad button 11 This event is sent through Android's input pipeline, so the final result can change depending on focused app, lock state, OEM customization, Android version, accessibility layers, and whether the system reserves or intercepts the action.</p><h2>Practical Notes</h2><p>Use this keyevent when you need repeatable automated navigation, device control, or UI testing. Always verify the behavior on the actual target device because some manufacturers remap, ignore, or override specific keyevents.</p>
